stock_name,group,trading_symbol,instrument_key,ath,cp,prev_change_pct,today_change_pct,ema5,ema10,ema20,last_updated
Canara Bank,Financial Services,CANBK,NSE_EQ|INE476A01022,0.0,0,0,0,0,0,0,0
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,NSE_EQ|INE475E01026,0.0,0,0,0,0,0,0,0
Capri Global Capital Ltd.,Financial Services,CGCL,NSE_EQ|INE180C01042,0.0,0,0,0,0,0,0,0
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,NSE_EQ|INE120A01034,0.0,0,0,0,0,0,0,0
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,NSE_EQ|INE172A01027,0.0,0,0,0,0,0,0,0
Ceat Ltd.,Automobile and Auto Components,CEATLTD,NSE_EQ|INE482A01020,0.0,0,0,0,0,0,0,0
Central Bank of India,Financial Services,CENTRALBK,NSE_EQ|INE483A01010,0.0,0,0,0,0,0,0,0
Central Depository Services (India) Ltd.,Financial Services,CDSL,NSE_EQ|INE736A01011,0.0,0,0,0,0,0,0,0
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,NSE_EQ|INE348B01021,0.0,0,0,0,0,0,0,0
Cera Sanitaryware Ltd,Consumer Durables,CERA,NSE_EQ|INE739E01017,0.0,0,0,0,0,0,0,0
Chalet Hotels Ltd.,Consumer Services,CHALET,NSE_EQ|INE427F01016,0.0,0,0,0,0,0,0,0
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,NSE_EQ|INE085A01013,0.0,0,0,0,0,0,0,0
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,NSE_EQ|INE178A01016,0.0,0,0,0,0,0,0,0
Choice International Ltd.,Financial Services,CHOICEIN,NSE_EQ|INE102B01014,0.0,0,0,0,0,0,0,0
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,NSE_EQ|INE149A01033,0.0,0,0,0,0,0,0,0
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,NSE_EQ|INE121A01024,0.0,0,0,0,0,0,0,0
Cipla Ltd.,Healthcare,CIPLA,NSE_EQ|INE059A01026,0.0,0,0,0,0,0,0,0
City Union Bank Ltd.,Financial Services,CUB,NSE_EQ|INE491A01021,0.0,0,0,0,0,0,0,0
Clean Science and Technology Ltd.,Chemicals,CLEAN,NSE_EQ|INE227W01023,0.0,0,0,0,0,0,0,0
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,NSE_EQ|INE522F01014,0.0,0,0,0,0,0,0,0
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,NSE_EQ|INE704P01025,0.0,0,0,0,0,0,0,0
Coforge Ltd.,Information Technology,COFORGE,NSE_EQ|INE591G01025,0.0,0,0,0,0,0,0,0
Cohance Lifesciences Ltd.,Healthcare,COHANCE,NSE_EQ|INE03QK01018,0.0,0,0,0,0,0,0,0
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,NSE_EQ|INE259A01022,0.0,0,0,0,0,0,0,0
Computer Age Management Services Ltd.,Financial Services,CAMS,NSE_EQ|INE596I01020,0.0,0,0,0,0,0,0,0
Concord Biotech Ltd.,Healthcare,CONCORDBIO,NSE_EQ|INE338H01029,0.0,0,0,0,0,0,0,0
Container Corporation of India Ltd.,Services,CONCOR,NSE_EQ|INE111A01025,0.0,0,0,0,0,0,0,0
Coromandel International Ltd.,Chemicals,COROMANDEL,NSE_EQ|INE169A01031,0.0,0,0,0,0,0,0,0
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,NSE_EQ|INE00LO01017,0.0,0,0,0,0,0,0,0
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,NSE_EQ|INE741K01010,0.0,0,0,0,0,0,0,0
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,NSE_EQ|INE299U01018,0.0,0,0,0,0,0,0,0
Cummins India Ltd.,Capital Goods,CUMMINSIND,NSE_EQ|INE298A01020,0.0,0,0,0,0,0,0,0
Cyient Ltd.,Information Technology,CYIENT,NSE_EQ|INE136B01020,0.0,0,0,0,0,0,0,0
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,NSE_EQ|INE499A01024,0.0,0,0,0,0,0,0,0
DLF Ltd.,Realty,DLF,NSE_EQ|INE271C01023,0.0,0,0,0,0,0,0,0
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,NSE_EQ|INE321T01012,0.0,0,0,0,0,0,0,0
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,NSE_EQ|INE016A01026,0.0,0,0,0,0,0,0,0
